game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2023-04-18,2023,"Ohtani, Shohei",660271,657376,home_run,hit_into_play,line_drive,116.7,19.0,171.46,47.75,391.0,-58.97629128248924,3018.0,,0.9,1.492,2.0,0.0,3.0,NYY,LAA,1,0,L,R,2,0,0.68,0.18,0.24,2.21
2023-04-19,2023,"Ohtani, Shohei",660271,666745,field_out,hit_into_play,fly_ball,111.5,33.0,137.82,33.43,409.0,-82.03026687038759,1693.0,,0.937,1.89,0.0,0.0,0.0,NYY,LAA,1,1,L,R,3,2,-1.42,0.93,0.37,1.93
2023-04-19,2023,"Ohtani, Shohei",660271,666745,field_out,hit_into_play,ground_ball,86.1,0.0,147.81,147.83,35.0,45.02510770194812,1654.0,,0.24,0.233,0.0,0.0,0.0,NYY,LAA,3,1,L,R,0,0,-1.51,0.7,-0.78,2.1
2023-04-20,2023,"Ohtani, Shohei",660271,641482,field_out,hit_into_play,ground_ball,89.7,-5.0,142.48,145.26,17.0,49.21290696447212,2303.0,,0.191,0.185,0.0,0.0,0.0,NYY,LAA,5,2,L,L,0,0,0.04,0.83,-0.57,1.98
2023-04-20,2023,"Ohtani, Shohei",660271,641482,field_out,hit_into_play,popup,59.1,75.0,148.54,195.59,54.0,71.55774645829818,2549.0,,0.006,0.008,0.0,0.0,0.0,NYY,LAA,1,1,L,L,0,0,-1.15,0.26,-0.71,1.95
2023-04-20,2023,"Ohtani, Shohei",660271,641482,field_out,hit_into_play,ground_ball,92.3,-2.0,150.97,148.29,37.0,41.88588193091314,2451.0,,0.266,0.257,0.0,0.0,0.0,NYY,LAA,3,2,L,L,2,2,-0.39,0.29,-0.65,2.6
2023-04-21,2023,"Ohtani, Shohei",660271,622251,single,hit_into_play,line_drive,98.0,10.0,103.93,72.86,235.0,-112.00384717282533,2727.0,,0.769,0.72,0.9,1.0,0.0,LAA,KC,8,1,L,R,0,0,0.66,-1.15,-0.57,1.68
2023-04-21,2023,"Ohtani, Shohei",660271,642232,field_out,hit_into_play,line_drive,104.6,18.0,89.81,58.59,359.0,-117.91867253024078,2078.0,,0.569,0.709,0.0,0.0,0.0,LAA,KC,3,2,L,L,2,2,1.41,1.04,-0.16,1.7
2023-04-21,2023,"Ohtani, Shohei",660271,642232,grounded_into_double_play,hit_into_play,ground_ball,84.9,2.0,135.86,141.5,47.0,56.647814367296604,2011.0,,0.3,0.289,0.0,0.0,0.0,LAA,KC,6,0,L,L,3,2,1.28,0.51,-1.04,1.9
2023-04-22,2023,"Ohtani, Shohei",660271,425844,field_out,hit_into_play,ground_ball,93.8,-20.0,145.81,162.17,3.0,60.75727600028073,1676.0,,0.131,0.128,0.0,0.0,0.0,LAA,KC,3,2,L,R,1,0,-1.09,0.26,-0.41,1.25
